application;name;description;manufacturer_name;manufacturer_description;release_name;release_application;end_of_life;end_of_life_calculated_case;end_of_life_exception;end_of_life_support_level;obsolete;version_name
Microsoft Internet Information Services (IIS) Manager for Remote Administration;Internet Information Services (IIS) Manager for Remote Administration;Microsoft Internet Information Services (IIS) Manager for Remote Administration allows remote management of web servers running IIS. It provides a graphical user interface for managing websites, virtual directories, applications, and other IIS settings. It enables administrators to remotely control and monitor web servers, making it convenient for managing multiple servers from a single location.;Microsoft;Microsoft Corporation develops, manufactures, licenses and supports a range of software products for computing devices. (Google Finance: http://www.google.com/finance?q=NASDAQ%3AMSFT);Internet Information Services (IIS) Manager for Remote Administration;Microsoft Internet Information Services (IIS) Manager for Remote Administration 1 (1.0);Not Available;;Date not published by vendor;Mainstream Support;Not Available;1.0
Microsoft Internet Information Services (IIS) Manager for Remote Administration;Internet Information Services (IIS) Manager for Remote Administration;Microsoft Internet Information Services (IIS) Manager for Remote Administration allows remote management of web servers running IIS. It provides a graphical user interface for managing websites, virtual directories, applications, and other IIS settings. It enables administrators to remotely control and monitor web servers, making it convenient for managing multiple servers from a single location.;Microsoft;Microsoft Corporation develops, manufactures, licenses and supports a range of software products for computing devices. (Google Finance: http://www.google.com/finance?q=NASDAQ%3AMSFT);Internet Information Services (IIS) Manager for Remote Administration;Microsoft Internet Information Services (IIS) Manager for Remote Administration 1 (1.0);Not Available;;Date not published by vendor;Mainstream Support;Not Available;1.2
Microsoft Internet Information Services (IIS) Manager for Remote Administration;Internet Information Services (IIS) Manager for Remote Administration;Microsoft Internet Information Services (IIS) Manager for Remote Administration allows remote management of web servers running IIS. It provides a graphical user interface for managing websites, virtual directories, applications, and other IIS settings. It enables administrators to remotely control and monitor web servers, making it convenient for managing multiple servers from a single location.;Microsoft;Microsoft Corporation develops, manufactures, licenses and supports a range of software products for computing devices. (Google Finance: http://www.google.com/finance?q=NASDAQ%3AMSFT);Internet Information Services (IIS) Manager for Remote Administration;Microsoft Internet Information Services (IIS) Manager for Remote Administration 1 (1.2);Not Available;;Date not published by vendor;Mainstream Support;Not Available;1.0
Microsoft Internet Information Services (IIS) Manager for Remote Administration;Internet Information Services (IIS) Manager for Remote Administration;Microsoft Internet Information Services (IIS) Manager for Remote Administration allows remote management of web servers running IIS. It provides a graphical user interface for managing websites, virtual directories, applications, and other IIS settings. It enables administrators to remotely control and monitor web servers, making it convenient for managing multiple servers from a single location.;Microsoft;Microsoft Corporation develops, manufactures, licenses and supports a range of software products for computing devices. (Google Finance: http://www.google.com/finance?q=NASDAQ%3AMSFT);Internet Information Services (IIS) Manager for Remote Administration;Microsoft Internet Information Services (IIS) Manager for Remote Administration 1 (1.2);Not Available;;Date not published by vendor;Mainstream Support;Not Available;1.2
